Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race
47,Male,Phd,Research Scientist,22,160000,Australia,Asian
26,Male,Bachelor Degree,Software Developer,1,35000,China,White
38,Female,Master Degree,Public Relations Manager,10,90000,UK,Asian
45,Male,Bachelor Degree,Operations Analyst,20,110000,China,Chinese
31,Female,Bachelor Degree,Event Coordinator,5,45000,Australia,Asian
35,Male,Master Degree,Product Marketing Manager,8,95000,China,White
49,Female,Master Degree,Senior HR Manager,19,150000,Australia,White
33,Male,Bachelor Degree,Web Developer,5,50000,Canada,Asian
39,Female,Master Degree,Senior Project Coordinator,13,80000,UK,Welsh
44,Male,Phd,Chief Data Officer,16,220000,USA,African American
30,Female,Bachelor Degree,Digital Content Producer,3,50000,UK,White
36,Male,Bachelor Degree,IT Support Specialist,7,60000,USA,Asian
41,Female,Master Degree,Senior Marketing Analyst,14,100000,USA,White
28,Male,Bachelor Degree,Customer Success Manager,2,40000,USA,Hispanic
42,Female,Master Degree,Senior Graphic Designer,15,110000,USA,Asian
37,Male,Bachelor Degree,Software Project Manager,9,95000,UK,White
50,Female,Bachelor Degree,Supply Chain Analyst,22,130000,UK,Welsh
32,Male,Master Degree,Senior Business Analyst,6,90000,USA,Asian
23,Female,Bachelor Degree,Marketing Analyst,0.5,35000,USA,White
31,Male,Master Degree,Senior Financial Analyst,6,95000,Australia,Asian
40,Female,Bachelor Degree,Office Manager,15,65000,USA,White
48,Male,Phd,Principal Engineer,20,170000,USA,Hispanic
29,Female,Bachelor Degree,HR Generalist,3,45000,Australia,Australian
35,Male,Master Degree,Senior Product Manager,10,120000,Canada,White
42,Female,Bachelor Degree,Sales Manager,17,100000,China,Korean
53,Male,Master Degree,Director of Marketing,25,180000,UK,Mixed
33,Female,Bachelor Degree,Operations Analyst,5,50000,Australia,Australian
38,Male,Bachelor Degree,Customer Service Manager,11,80000,China,White
44,Female,Phd,Senior Scientist,16,140000,UK,Mixed
26,Male,Bachelor Degree,Accountant,2,40000,UK,White
37,Female,Master Degree,Senior HR Generalist,9,95000,USA,African American
45,Male,Bachelor Degree,Sales Operations Manager,18,110000,UK,White
32,Female,Bachelor Degree,Marketing Coordinator,4,50000,USA,White
34,Male,Master Degree,Senior Software Developer,8,105000,Canada,White
50,Female,Master Degree,Director of Operations,21,160000,UK,White
29,Male,Bachelor Degree,Web Designer,3,45000,China,White
40,Female,Master Degree,Senior Training Specialist,12,100000,Canada,Black
47,Male,Phd,Senior Research Scientist,22,160000,USA,Hispanic
27,Male,Bachelor Degree,Sales Representative,1,35000,UK,Mixed
39,Female,Bachelor Degree,Administrative Assistant,10,55000,Canada,Black
46,Male,Master Degree,Senior Project Manager,19,140000,Canada,Black
30,Female,Bachelor Degree,Marketing Manager,4,50000,Canada,White
36,Male,Bachelor Degree,Data Analyst,7,60000,Australia,Asian
43,Female,Master Degree,Senior Product Marketing Manager,14,120000,Australia,White
28,Male,Bachelor Degree,Business Analyst,2,40000,USA,White
41,Female,Master Degree,Senior Marketing Manager,13,110000,Australia,Australian
33,Male,Bachelor Degree,Software Developer,5,50000,USA,Hispanic
47,Male,Bachelor Degree,Senior Sales Manager,20,135000,China,White
25,Female,Master Degree,Marketing Specialist,1.5,40000,Australia,Asian
34,Male,Bachelor Degree,Senior Business Analyst,8,90000,Australia,Asian
42,Female,Phd,Senior Data Scientist,16,150000,China,Chinese
31,Male,Bachelor Degree,Project Manager,4,60000,UK,Welsh
38,Female,Bachelor Degree,Senior Accountant,10,80000,USA,African American
45,Male,Master Degree,Director of Sales,19,175000,Canada,Black
29,Female,Bachelor Degree,Recruiter,3,45000,Australia,Australian
36,Male,Master Degree,Senior Business Development Manager,11,120000,Canada,Black
43,Female,Phd,Senior Product Designer,18,140000,Australia,Asian
26,Male,Bachelor Degree,Customer Support Specialist,2,35000,USA,Asian
37,Female,Master Degree,Senior Marketing Analyst,9,95000,Canada,White
44,Male,Bachelor Degree,Senior IT Support Specialist,14,110000,USA,African American
32,Female,Bachelor Degree,Financial Analyst,5,50000,USA,Asian
33,Male,Master Degree,Senior Operations Manager,7,115000,China,Korean
51,Female,Phd,Director of Human Resources,23,185000,China,Chinese
28,Male,Bachelor Degree,Software Engineer,2,40000,Australia,White
39,Female,Bachelor Degree,Senior Sales Representative,12,90000,USA,Asian
48,Male,Master Degree,Director of Product Management,21,175000,USA,Asian
30,Female,Bachelor Degree,Copywriter,3,45000,UK,Mixed
35,Male,Bachelor Degree,Senior Marketing Coordinator,7,80000,China,White
41,Female,Master Degree,Senior Human Resources Manager,13,120000,China,Korean
27,Male,Bachelor Degree,Business Development Associate,1.5,35000,China,White
40,Female,Bachelor Degree,Senior Account Manager,14,110000,Australia,Australian
46,Male,Phd,Senior Researcher,18,150000,Canada,Black
31,Female,Bachelor Degree,HR Coordinator,4,50000,China,Korean
34,Male,Master Degree,Senior Software Engineer,9,105000,China,Korean
50,Female,Master Degree,Director of Finance,20,180000,Australia,Australian
29,Male,Bachelor Degree,Marketing Coordinator,2,40000,Canada,Asian
43,Male,Bachelor Degree,Senior Project Manager,16,140000,UK,White
26,Female,Master Degree,Data Scientist,1.5,45000,Canada,Asian
35,Male,Bachelor Degree,Senior Operations Analyst,7,85000,China,White
42,Female,Phd,Senior Marketing Manager,18,140000,UK,Asian
31,Male,Bachelor Degree,Accountant,4,50000,UK,Welsh
38,Female,Bachelor Degree,Senior Human Resources Coordinator,10,80000,UK,Asian
46,Male,Master Degree,Director of Operations,20,170000,USA,Asian
29,Female,Bachelor Degree,Sales Representative,2,40000,UK,Welsh
37,Male,Master Degree,Senior Business Analyst,9,105000,China,Chinese
44,Female,Phd,Senior UX Designer,15,145000,USA,Hispanic
27,Male,Bachelor Degree,Product Manager,2,40000,USA,Hispanic
36,Female,Bachelor Degree,Senior Marketing Specialist,8,85000,USA,African American
43,Male,Bachelor Degree,Senior IT Project Manager,14,130000,China,Chinese
33,Female,Master Degree,Senior Financial Analyst,6,95000,Canada,White
34,Male,Bachelor Degree,Senior Quality Assurance Analyst,9,100000,UK,Mixed
50,Female,Phd,Director of Sales and Marketing,22,180000,China,Korean
28,Male,Bachelor Degree,Operations Analyst,1.5,35000,UK,Welsh
39,Female,Bachelor Degree,Senior Account Executive,12,95000,USA,African American
47,Male,Master Degree,Director of Business Development,19,170000,Australia,Asian
30,Female,Bachelor Degree,Social Media Manager,3,45000,Australia,Australian
34,Male,Bachelor Degree,Senior Product Manager,7,95000,China,Chinese
40,Female,Master Degree,Senior Human Resources Specialist,13,120000,UK,Welsh
28,Male,Bachelor Degree,Business Analyst,2,40000,USA,African American
41,Female,Bachelor Degree,Senior Marketing Coordinator,11,90000,Canada,Asian
45,Male,Phd,Senior Data Analyst,17,155000,UK,Asian
32,Female,Bachelor Degree,Account Manager,5,55000,Australia,Asian
35,Male,Master Degree,Senior Software Developer,9,110000,Canada,Asian
49,Female,Master Degree,Director of Human Capital,21,180000,UK,Mixed
30,Male,Bachelor Degree,Advertising Coordinator,3,45000,UK,White
44,Male,Bachelor Degree,Senior Sales Manager,16,130000,USA,Asian
27,Female,Master Degree,UX Designer,1.5,45000,USA,Hispanic
36,Male,Bachelor Degree,Senior Accountant,7,90000,Canada,White
41,Female,Phd,Senior Marketing Director,17,160000,UK,Mixed
31,Male,Bachelor Degree,HR Generalist,4,50000,China,Chinese
39,Female,Bachelor Degree,Senior Operations Manager,10,120000,Australia,Asian
47,Male,Master Degree,Director of Finance,20,170000,Australia,Australian
30,Female,Bachelor Degree,Marketing Coordinator,2,40000,China,Korean
38,Male,Master Degree,Senior IT Consultant,9,110000,China,White
45,Female,Phd,Senior Product Designer,15,150000,China,Chinese
28,Male,Bachelor Degree,Business Development Associate,2,40000,USA,Asian
35,Female,Bachelor Degree,Senior Marketing Analyst,8,85000,USA,White
44,Male,Bachelor Degree,Senior Software Engineer,14,130000,China,Chinese
34,Female,Master Degree,Senior Financial Advisor,6,100000,UK,Welsh
35,Male,Bachelor Degree,Senior Project Coordinator,9,95000,Canada,White
50,Female,Phd,Director of Operations,22,180000,Australia,Australian
29,Male,Bachelor Degree,Business Operations Analyst,1.5,35000,UK,Asian
40,Female,Bachelor Degree,Senior Sales Representative,12,100000,China,Chinese
48,Male,Master Degree,Director of Marketing,19,170000,USA,Hispanic
31,Female,Bachelor Degree,Social Media Specialist,3,45000,UK,Welsh
33,Male,Bachelor Degree,Senior Product Development Manager,7,100000,USA,Hispanic
42,Female,Master Degree,Senior Human Resources Manager,13,140000,China,White
28,Male,Bachelor Degree,Financial Analyst,2,40000,Australia,Australian
40,Female,Bachelor Degree,Senior Marketing Manager,11,105000,UK,White
46,Male,Phd,Senior Data Scientist,18,160000,Canada,White
33,Female,Bachelor Degree,Operations Manager,5,70000,Australia,Asian
37,Male,Master Degree,Senior Software Architect,9,120000,Australia,Australian
51,Female,Master Degree,Director of Human Resources,21,190000,USA,Hispanic
30,Male,Bachelor Degree,Marketing Specialist,3,45000,Canada,Black
43,Male,Bachelor Degree,Senior Project Manager,15,120000,Canada,Asian
27,Female,Master Degree,Research Scientist,1.5,50000,China,White
35,Male,Bachelor Degree,Senior Operations Analyst,8,85000,Canada,White
42,Female,Phd,Senior Marketing Manager,13,140000,Canada,White
32,Male,Bachelor Degree,Sales Representative,3,45000,Australia,White
37,Female,Bachelor Degree,Senior Financial Analyst,9,100000,UK,Welsh
45,Male,Master Degree,Senior Software Developer,16,140000,Australia,Asian
33,Female,Bachelor Degree,Operations Analyst,5,70000,Canada,Asian
39,Male,Bachelor Degree,Senior Marketing Specialist,10,120000,Canada,Black
44,Female,Phd,Senior HR Manager,18,160000,Canada,White
29,Male,Bachelor Degree,Business Analyst,1.5,40000,Australia,Australian
38,Female,Bachelor Degree,Senior Product Manager,10,120000,China,Korean
46,Male,Phd,Senior Data Analyst,19,150000,UK,Asian
34,Female,Bachelor Degree,Marketing Analyst,6,70000,USA,Asian
36,Male,Bachelor Degree,Senior Operations Manager,8,95000,USA,White
49,Female,Master Degree,Director of Marketing,21,180000,Canada,White
31,Male,Bachelor Degree,Financial Analyst,3,50000,Canada,Black
41,Female,Bachelor Degree,Senior Project Coordinator,11,95000,USA,African American
47,Male,Master Degree,Director of Operations,20,170000,Canada,White
30,Female,Bachelor Degree,Marketing Coordinator,2,40000,USA,White
38,Male,Master Degree,Senior IT Consultant,9,110000,Australia,Australian
45,Female,Phd,Senior Product Designer,15,150000,China,Korean
28,Male,Bachelor Degree,Business Development Associate,2,40000,USA,Asian
35,Female,Bachelor Degree,Senior Marketing Analyst,8,85000,Canada,White
44,Male,Bachelor Degree,Senior Software Engineer,14,130000,Australia,Australian
34,Female,Master Degree,Senior Financial Advisor,6,100000,Australia,Australian
35,Male,Bachelor Degree,Senior Project Coordinator,9,95000,UK,Asian
50,Female,Phd,Director of Operations,22,180000,Australia,White
29,Male,Bachelor Degree,Business Operations Analyst,1.5,350,USA,Hispanic
37,Female,Bachelor Degree,Senior Financial Manager,10,120000,USA,African American
46,Male,Phd,Senior Data Scientist,18,160000,China,Chinese
31,Female,Bachelor Degree,Marketing Coordinator,3,50000,Australia,White
42,Male,Bachelor Degree,Senior Operations Manager,12,110000,Canada,Black
29,Female,Bachelor Degree,Sales Representative,1.5,40000,USA,African American
36,Male,Bachelor Degree,Senior Marketing Specialist,8,95000,UK,White
44,Female,Master Degree,Senior HR Specialist,15,140000,China,Chinese
33,Male,Bachelor Degree,Operations Manager,4,60000,China,Korean
39,Female,Bachelor Degree,Senior Marketing Coordinator,9,110000,China,White
45,Male,Phd,Senior Data Engineer,16,150000,Australia,Asian
32,Female,Bachelor Degree,Marketing Manager,4,60000,UK,Welsh
37,Male,Bachelor Degree,Senior Financial Analyst,8,90000,Australia,Australian
47,Female,Master Degree,Director of Marketing,20,180000,UK,Mixed
30,Male,Bachelor Degree,Business Analyst,2,40000,Australia,Australian
38,Female,Bachelor Degree,Senior Project Manager,9,120000,UK,Asian
46,Male,Phd,Senior Data Analyst,17,160000,UK,Asian
34,Female,Bachelor Degree,Financial Analyst,5,70000,UK,Mixed
36,Male,Bachelor Degree,Senior Product Manager,8,95000,Australia,Asian
49,Female,Master Degree,Director of Operations,21,180000,UK,Mixed
31,Male,Bachelor Degree,Operations Analyst,3,50000,USA,Hispanic
41,Female,Bachelor Degree,Senior Project Coordinator,11,95000,Canada,Black
47,Male,Master Degree,Director of Marketing,19,170000,Canada,White
29,Female,Bachelor Degree,Business Development Associate,1.5,35000,Australia,White
35,Male,Bachelor Degree,Senior Financial Manager,9,100000,Canada,White
44,Female,Phd,Senior Product Designer,15,150000,China,White
33,Male,Bachelor Degree,Business Analyst,4,60000,Canada,Black
35,Female,Bachelor Degree,Senior Marketing Analyst,8,85000,China,Chinese
44,Male,Bachelor Degree,Senior Software Engineer,13,130000,Canada,White
32,Male,Bachelor Degree,Product Manager,4,65000,China,Chinese
38,Female,Bachelor Degree,Senior Business Analyst,10,110000,Australia,Asian
49,Male,Phd,Director of Operations,21,180000,USA,Asian
29,Female,Bachelor Degree,Marketing Specialist,2,40000,Australia,Australian
35,Male,Bachelor Degree,Senior Business Development Manager,7,90000,USA,Hispanic
45,Female,Master Degree,Senior HR Manager,14,140000,UK,Welsh
33,Male,Bachelor Degree,Financial Analyst,4,60000,China,Korean
40,Female,Bachelor Degree,Senior Marketing Manager,12,130000,Australia,Asian
44,Male,Phd,Senior Data Scientist,16,160000,Australia,Asian
30,Female,Bachelor Degree,Operations Coordinator,2,40000,Australia,White
37,Male,Bachelor Degree,Senior Marketing Analyst,9,100000,UK,Mixed
48,Female,Master Degree,Director of HR,20,180000,USA,Hispanic
31,Male,Bachelor Degree,Project Manager,3,55000,Canada,Black
38,Female,Bachelor Degree,Senior Operations Coordinator,9,120000,Canada,Asian
45,Male,Phd,Senior Data Engineer,16,150000,Canada,Black
33,Female,Bachelor Degree,Marketing Manager,5,70000,UK,Mixed
36,Male,Bachelor Degree,Senior Business Analyst,8,95000,China,Chinese
49,Female,Master Degree,Director of Marketing,21,180000,China,White
31,Male,Bachelor Degree,Operations Analyst,3,50000,Canada,Black
42,Female,Bachelor Degree,Senior Project Manager,12,120000,Australia,White
47,Male,Master Degree,Director of Marketing,19,170000,UK,White
29,Female,Bachelor Degree,Business Development Associate,1.5,35000,Australia,White
35,Male,Bachelor Degree,Senior Financial Manager,9,100000,Australia,Asian
44,Female,Phd,Senior Product Designer,15,150000,Australia,Asian
33,Male,Bachelor Degree,Business Analyst,4,60000,UK,White
35,Female,Bachelor Degree,Senior Marketing Analyst,8,85000,Canada,Black
44,Male,Bachelor Degree,Senior Software Engineer,13,130000,Australia,White
34,Female,Master Degree,Senior Financial Advisor,6,80000,Canada,White
36,Male,Bachelor Degree,Senior Marketing Specialist,8,95000,Canada,White
30,Female,Bachelor Degree,HR Coordinator,2,40000,UK,Welsh
37,Male,Bachelor Degree,Senior Business Development Manager,10,120000,China,Chinese
45,Female,Master Degree,Senior Marketing Manager,16,160000,Canada,Black
32,Male,Bachelor Degree,Financial Advisor,4,65000,USA,Hispanic
39,Female,Bachelor Degree,Senior Project Manager,12,130000,Canada,White
47,Male,Phd,Director of Engineering,20,180000,China,White
29,Female,Bachelor Degree,Marketing Analyst,2,40000,Australia,Australian
36,Male,Bachelor Degree,Senior Operations Manager,9,100000,UK,Asian
43,Female,Phd,Senior Data Scientist,15,150000,USA,African American
32,Male,Bachelor Degree,Marketing Coordinator,3,55000,Canada,White
38,Female,Bachelor Degree,Senior Business Analyst,10,110000,China,White
48,Male,Master Degree,Director of Marketing,21,180000,China,Chinese
31,Female,Bachelor Degree,Business Development Associate,3,50000,China,Korean
40,Male,Bachelor Degree,Senior Financial Analyst,12,130000,Australia,White
45,Female,Phd,Senior UX Designer,16,160000,Australia,Asian
33,Male,Bachelor Degree,Product Manager,4,60000,Canada,Asian
36,Female,Bachelor Degree,Senior Marketing Manager,8,95000,China,Korean
47,Male,Master Degree,Director of Operations,19,170000,China,Chinese
29,Female,Bachelor Degree,Project Manager,2,40000,UK,Mixed
34,Male,Bachelor Degree,Senior Operations Coordinator,7,90000,UK,Asian
44,Female,Phd,Senior Business Analyst,15,150000,UK,White
33,Male,Bachelor Degree,Marketing Specialist,5,70000,UK,Welsh
35,Female,Bachelor Degree,Senior Financial Manager,8,90000,Australia,White
43,Male,Master Degree,Director of Marketing,18,170000,China,Korean
31,Female,Bachelor Degree,Financial Analyst,3,50000,UK,Asian
41,Male,Bachelor Degree,Senior Product Manager,14,150000,Canada,White
44,Female,Phd,Senior Data Engineer,16,160000,Canada,Asian
33,Male,Bachelor Degree,Business Analyst,4,60000,Canada,Black
35,Female,Bachelor Degree,Senior Marketing Analyst,8,85000,Canada,Asian
45,Male,Master Degree,Director of Engineering,19,180000,China,Chinese
28,Female,Bachelor Degree,Operations Manager,1,35000,Canada,Asian
36,Male,Bachelor Degree,Senior Business Development Manager,8,110000,USA,Asian
44,Female,Phd,Senior Data Scientist,16,160000,China,Chinese
31,Male,Bachelor Degree,Marketing Coordinator,3,55000,Canada,Black
38,Female,Bachelor Degree,Senior Business Analyst,10,110000,Canada,Black
48,Male,Master Degree,Director of Marketing,21,180000,Canada,Asian
31,Female,Bachelor Degree,Business Development Associate,3,50000,Canada,Black
40,Male,Bachelor Degree,Senior Financial Analyst,12,130000,USA,White
45,Female,Phd,Senior UX Designer,16,160000,UK,Asian
33,Male,Bachelor Degree,Product Manager,4,60000,Canada,White
36,Female,Bachelor Degree,Senior Marketing Manager,8,95000,UK,Welsh
47,Male,Master Degree,Director of Operations,19,170000,UK,Welsh
29,Female,Bachelor Degree,Project Manager,2,40000,Australia,Australian
34,Male,Bachelor Degree,Senior Operations Coordinator,7,90000,China,Chinese
44,Female,Phd,Senior Business Analyst,15,150000,UK,Welsh
33,Male,Bachelor Degree,Marketing Specialist,5,70000,Canada,White
35,Female,Bachelor Degree,Senior Financial Manager,8,90000,China,Chinese
43,Male,Master Degree,Director of Marketing,18,170000,Canada,Asian
31,Female,Bachelor Degree,Financial Analyst,3,50000,Canada,Black
41,Male,Bachelor Degree,Senior Product Manager,14,150000,China,Chinese
44,Female,Phd,Senior Data Engineer,16,160000,Australia,White
33,Male,Bachelor Degree,Business Analyst,4,60000,UK,Welsh
35,Female,Bachelor Degree,Senior Marketing Analyst,8,85000,China,White
43,Male,Master Degree,Director of Operations,19,170000,China,White
29,Female,Bachelor Degree,Project Manager,2,40000,USA,Asian
34,Male,Bachelor Degree,Senior Operations Coordinator,7,90000,China,White
44,Female,Phd,Senior Business Analyst,15,150000,UK,White
31,Male,Master Degree,Data Scientist,6,160000,Australia,White
28,Female,Bachelor Degree,Software Engineer,3,125000,Canada,Black
26,Male,Master Degree,Product Manager,2,120000,China,White
27,Female,Bachelor Degree,Data Analyst,2,110000,UK,Mixed
30,Male,Phd,Data Scientist,5,180000,China,Korean
29,Female,Bachelor Degree,Software Engineer,4,140000,Australia,White
32,Male,Bachelor Degree,Product Manager,7,170000,USA,Asian
25,Female,Master Degree,Data Analyst,1,100000,China,White
33,Male,Phd,Data Scientist,8,190000,UK,Mixed
31,Female,Bachelor Degree,Software Engineer,6,155000,UK,Welsh
28,Male,Master Degree,Product Manager,3,130000,Canada,Black
30,Female,Bachelor Degree,Data Analyst,5,145000,USA,African American
27,Male,Phd,Data Scientist,2,115000,USA,African American
29,Female,Bachelor Degree,Software Engineer,4,140000,USA,Hispanic
34,Male,Bachelor Degree,Product Manager,9,185000,China,Chinese
25,Female,Master Degree,Data Analyst,1,100000,Australia,Australian
33,Male,Phd,Data Scientist,8,190000,Canada,Black
31,Female,Bachelor Degree,Software Engineer,6,155000,UK,Welsh
28,Male,Master Degree,Product Manager,3,130000,Australia,White
30,Female,Bachelor Degree,Data Analyst,5,145000,Australia,White
28,Male,Bachelor Degree,Software Engineer,3,125000,China,Korean
26,Female,Master Degree,Product Manager,2,120000,USA,White
27,Male,Bachelor Degree,Data Analyst,2,110000,USA,African American
30,Female,Phd,Data Scientist,5,180000,China,Korean
29,Male,Bachelor Degree,Software Engineer,4,140000,USA,Hispanic
32,Male,Bachelor Degree,Product Manager,7,170000,China,Chinese
25,Female,Master Degree,Data Analyst,1,100000,Australia,Asian
33,Male,Phd,Data Scientist,8,190000,Canada,Asian
31,Female,Bachelor Degree,Software Engineer,6,155000,Australia,Australian
28,Male,Master Degree,Product Manager,3,130000,Canada,Asian
30,Female,Bachelor Degree,Data Analyst,5,145000,Canada,Asian
27,Male,Phd,Data Scientist,2,115000,UK,Asian
29,Female,Bachelor Degree,Software Engineer,4,140000,Australia,White
34,Male,Bachelor Degree,Product Manager,9,185000,Canada,White
25,Female,Master Degree,Data Analyst,1,100000,China,White
33,Male,Phd,Data Scientist,8,190000,UK,White
31,Female,Bachelor Degree,Software Engineer,6,155000,Australia,Australian
28,Male,Master Degree,Product Manager,3,130000,Canada,Asian
30,Female,Bachelor Degree,Data Analyst,5,145000,Canada,White
28,Male,Bachelor Degree,Software Engineer,3,125000,Australia,Asian
26,Female,Master Degree,Product Manager,2,120000,USA,White
27,Male,Bachelor Degree,Data Analyst,2,110000,Australia,White
30,Female,Phd,Data Scientist,5,180000,Canada,Black
29,Male,Bachelor Degree,Software Engineer,4,140000,Australia,Asian
32,Male,Bachelor Degree,Product Manager,7,170000,USA,African American
25,Female,Master Degree,Data Analyst,1,100000,Canada,Black
33,Male,Phd,Data Scientist,8,190000,Australia,Australian
31,Female,Bachelor Degree,Software Engineer,6,155000,China,Chinese
28,Male,Master Degree,Product Manager,3,130000,UK,Mixed
30,Female,Bachelor Degree,Data Analyst,5,145000,China,White
27,Male,Phd,Data Scientist,2,115000,Australia,Australian
